"college_name","Address","name","city_name","state","pop","lat","long","capital"
"Kansas State University","110 Anderson Hall, Manhattan, KS 66506","Manhattan KS","Manhattan","KS",45671,39.19,-96.59,0
"University of Kentucky","101 Main Building, Lexington, KY 40506-0032","Lexington KY","Lexington","KY",274245,38.04,-84.46,0
"University of Louisville","2301 S 3rd St, Louisville, KY 40292-0001","Louisville KY","Louisville","KY",241072,38.22,-85.74,0
"University of New Orleans","2000 Lakeshore Drive, New Orleans, LA 70148","New Orleans LA","New Orleans","LA",454207,30.07,-89.93,0
"Tulane University","6823 Saint Charles Avenue, New Orleans, LA 70118-5698","New Orleans LA","New Orleans","LA",454207,30.07,-89.93,0
"Johns Hopkins University","3400 N Charles St, Baltimore, MD 21218-2688","Baltimore MD","Baltimore","MD",602658,39.3,-76.61,0
"University of Maryland Baltimore County","1000 Hilltop Circle, Baltimore, MD 21250","Baltimore MD","Baltimore","MD",602658,39.3,-76.61,0
"University of Maryland College Park","Main Administration Building, College Park, MD 20742-0001","College Park MD","College Park","MD",NA,NA,NA,NA
"Towson University","8000 York Rd, Towson, MD 21252-0001","Towson MD","Towson","MD",54075,39.4,-76.62,0
"Boston College","140 Commonwealth Ave, Chestnut Hill, MA 02467","Chestnut Hill MA","Chestnut Hill","MA",NA,NA,NA,NA
"Harvard University","Massachusetts Hall, Cambridge, MA 02138","Cambridge MA","Cambridge","MA",101342,42.38,-71.12,0
"University of Massachusetts Lowell","1 University Ave, Lowell, MA 01854","Lowell MA","Lowell","MA",103085,42.64,-71.32,0
"University of Massachusetts Amherst","181 Presidents Drive, Amherst, MA 01003","Amherst MA","Amherst","MA",NA,NA,NA,NA
"University of Massachusetts Boston","100 Morrissey Blvd, Boston, MA 02125-3393","Boston MA","Boston","MA",567759,42.34,-71.02,2
"Massachusetts Institute of Technology","77 Massachusetts Avenue, Cambridge, MA 02139-4307","Cambridge MA","Cambridge","MA",101342,42.38,-71.12,0
"Worcester Polytechnic Institute","100 Institute Road, Worcester, MA 01609-2280","Worcester MA","Worcester","MA",177973,42.27,-71.81,0
"Concordia University","4090 Geddes Rd., Ann Arbor, MI 48105","Ann Arbor MI","Ann Arbor","MI",113716,42.28,-83.73,0
"Michigan State University","450 Administration Bldg., East Lansing, MI 48824-1046","East Lansing MI","East Lansing","MI",48618,42.74,-84.48,0
"Michigan Technological University","1400 Townsend Drive, Houghton, MI 49931-1295","Houghton MI","Houghton","MI",NA,NA,NA,NA
"University of Michigan Dearborn","4901 Evergreen Rd, Dearborn, MI 48128-1491","Dearborn MI","Dearborn","MI",94681,42.31,-83.21,0
"Oakland University","2200 North Squirrel Road, Rochester, MI 48309-4401","Rochester MI","Rochester","MI",NA,NA,NA,NA
"Wayne State University","656 West Kirby Street, Detroit, MI 48202","Detroit MI","Detroit","MI",871789,42.38,-83.1,0
"Western Michigan University","1903 West Michigan Avenue, Kalamazoo, MI 49008-5167","Kalamazoo MI","Kalamazoo","MI",73504,42.27,-85.59,0
"University of Mississippi","P.O. Box 1848, University, MS 38677-1848","University MS","University","MS",NA,NA,NA,NA
"Mississippi State University","262 Lee boulevard, Mississippi State, MS 39762","Mississippi State MS","Mississippi State","MS",NA,NA,NA,NA
